date,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter,ratio_x,ratio_y,"('isHoliday', 'count')",temp,temp_min,temp_max,rain,humidity,snow,temp_avg,temp_min_max,temp_min_min,temp_min_avg,temp_max_max,temp_max_min,temp_max_avg
2016-04-04,4313.0,81.60714285714285,26.83376623376623,275.3364176006196,233.49785356411235,616.1428571428571,412.04761904761904,1.0,0.3854290209140575,1.3437983132431173,-1.001697209351115,1.5560777429747503,303.0,133.0,1045.0,1045.0,14.0,4.0,2016.0,2.0,0.0,54.24728,0.0,12.3,10.7,15.3,0.0,14.0,0.0,12.799999999999999,10.7,10.7,10.7,15.3,15.3,15.3
2016-04-11,5406.0,31.642857142857146,32.14285714285714,195.57923738280084,266.556748179445,772.2857142857143,577.0,1.0,1.2361850043605904,0.5219683285935472,0.39398343549090314,-0.6092440187082372,580.0,244.0,1123.0,1123.0,15.0,4.0,2016.0,2.0,0.0,80.57868,1.0,12.5,10.7,14.4,0.0,18.0,0.0,12.514285714285716,10.7,10.7,10.7,14.4,14.4,14.4
2016-04-18,5088.0,-37.964285714285715,9.783116883116879,235.23777231518196,235.23326821729648,726.8571428571429,705.0952380952381,1.0,-1.3856084853178308,-0.2520313506214579,2.5281304541001517,-0.3025006015409989,262.0,262.0,982.0,1123.0,16.0,4.0,2016.0,2.0,0.0,62.298559999999995,0.0,11.2,10.8,15.6,1.0,25.0,0.0,13.428571428571429,10.8,10.8,10.8,15.6,15.6,15.6
2016-04-25,6838.0,68.35714285714285,15.274025974025975,257.008708394241,245.5755145231979,976.8571428571429,825.3333333333334,1.0,1.053202433208551,0.3773486090295504,-0.46297485243550296,1.45022029239262,747.0,262.0,1410.0,1410.0,17.0,4.0,2016.0,2.0,0.0,69.61001,0.0,17.2,12.0,17.2,0.0,14.0,0.0,14.214285714285714,12.0,12.0,12.0,17.2,17.2,17.2
2016-05-02,8995.0,111.75,40.68701298701299,446.50083986483133,388.509704481356,1285.0,996.2380952380952,1.0,1.9467680041010493,1.431052603986126,4.007222923406063,4.389173036896316,955.0,262.0,2223.0,2223.0,18.0,5.0,2016.0,2.0,0.0,68.352,0.0,21.1,15.9,21.1,1.0,33.0,0.0,18.214285714285715,15.9,15.9,15.9,21.1,21.1,21.1
2016-05-09,8448.0,-116.89285714285714,16.935064935064926,357.09869250737387,368.5682982517494,1206.857142857143,1156.2380952380952,1.0,0.04909428335013696,1.2906665308218288,1.3490694054594896,2.4520036935781935,626.0,626.0,1793.0,2223.0,19.0,5.0,2016.0,2.0,0.0,65.84496,0.0,20.2,12.9,20.2,1.0,22.0,0.0,17.128571428571426,12.9,12.9,12.9,20.2,20.2,20.2
2016-05-16,4652.0,-19.32142857142857,-40.37142857142858,65.1174762585732,423.3987819673417,664.5714285714286,1052.142857142857,-1.0,-0.1838123385764395,1.1795016860519432,-0.7745721947126405,1.6176635791342386,571.0,571.0,757.0,2223.0,20.0,5.0,2016.0,2.0,0.0,76.04385,0.0,15.9,14.5,20.2,1.0,24.0,0.0,17.25714285714286,14.5,14.5,14.5,20.2,20.2,20.2
2016-05-23,4249.0,-29.035714285714285,-44.18181818181819,193.93985321915358,357.0532573320518,607.0,826.1428571428571,-1.0,-1.8356936202215408,1.151200058403985,4.2277343917056625,1.6109713214865518,200.0,200.0,796.0,1793.0,21.0,5.0,2016.0,2.0,0.0,70.7572,0.0,23.3,19.3,24.7,0.0,25.0,0.0,23.142857142857142,19.3,19.3,19.3,24.7,24.7,24.7
2016-05-30,3142.0,-7.2142857142857135,-15.74805194805195,103.12359667154963,156.4591381312116,448.85714285714283,573.4761904761905,-1.0,0.14858885141089692,-0.8528165717522362,-0.677009259358347,0.24461074413555808,303.0,200.0,605.0,796.0,22.0,5.0,2016.0,2.0,0.0,66.62671999999999,0.0,22.1,16.8,22.1,0.0,26.0,0.0,20.3,16.8,16.8,16.8,22.1,22.1,22.1
2016-06-06,3394.0,32.07142857142856,-7.924675324675323,113.28934720650669,152.09851131045542,484.85714285714283,513.5714285714286,-1.0,-0.8560883565989634,-0.22218132132575244,0.6348426235595632,-0.23858759179453054,280.0,200.0,599.0,796.0,23.0,6.0,2016.0,2.0,0.0,65.26088,0.0,23.3,21.2,24.7,1.0,31.0,0.0,22.78571428571429,21.2,21.2,21.2,24.7,24.7,24.7
2016-06-13,3153.0,23.39285714285714,1.8545454545454543,165.97475424780512,124.87893184619719,450.42857142857144,461.3809523809524,-1.0,0.581251137441877,0.12532397481028423,-1.4681598745266364,-0.9898194293753381,273.0,273.0,709.0,709.0,24.0,6.0,2016.0,2.0,0.0,58.06625,0.0,23.5,21.7,24.6,0.0,45.0,0.0,23.285714285714285,21.7,21.7,21.7,24.6,24.6,24.6
2016-06-20,2951.0,-3.392857142857143,-2.133766233766234,113.11035487943911,129.0562446598917,421.57142857142856,452.2857142857143,-1.0,-1.05165882872632,-0.023081010100043275,-0.7981584246666926,-0.8056299937376369,243.0,243.0,523.0,709.0,25.0,6.0,2016.0,2.0,0.0,54.7445,1.0,24.7,20.9,24.7,0.0,40.0,0.0,23.24285714285714,20.9,20.9,20.9,24.7,24.7,24.7
2016-06-27,2581.0,5.9642857142857135,-4.255844155844156,76.16804729393907,122.65829422773099,368.7142857142857,413.57142857142856,-1.0,0.26634387298269097,0.6147360582156414,-1.7301871700763662,-0.07994218618896824,276.0,243.0,469.0,709.0,26.0,6.0,2016.0,2.0,0.0,51.63841,0.0,24.4,22.8,26.0,0.0,30.0,0.0,24.24285714285714,22.8,22.8,22.8,26.0,26.0,26.0
2016-07-04,2509.0,25.357142857142854,-3.0025974025974027,107.54201836624618,99.25568233703255,358.42857142857144,382.9047619047619,-1.0,0.744539460007024,0.03165557227727802,-1.6100056060890673,-1.7427422756013917,259.0,243.0,510.0,523.0,27.0,7.0,2016.0,3.0,0.0,51.77619,0.0,21.8,21.8,25.3,1.0,66.0,0.0,23.914285714285715,21.8,21.8,21.8,25.3,25.3,25.3
2016-07-11,2524.0,13.714285714285714,1.1194805194805195,77.73428489167033,83.92530692738963,360.57142857142856,362.57142857142856,-1.0,1.1733413581882006,0.5981093992955799,-0.17010721185996686,-1.1890498371028018,292.0,259.0,494.0,510.0,28.0,7.0,2016.0,3.0,0.0,52.12064,0.0,28.4,22.9,28.4,1.0,39.0,0.0,25.900000000000002,22.9,22.9,22.9,28.4,28.4,28.4
2016-07-18,2211.0,9.714285714285712,-0.935064935064935,113.70785456808393,98.01248705673683,315.85714285714283,344.95238095238096,-1.0,0.6170736963948334,0.4591632605737374,-0.6607616072412377,-0.8515004497231309,167.0,167.0,483.0,510.0,29.0,7.0,2016.0,3.0,0.0,51.093270000000004,3.0,24.4,20.8,27.5,1.0,56.0,0.0,24.74285714285714,20.8,20.8,20.8,27.5,27.5,27.5
2016-07-25,2047.0,-5.142857142857142,-3.6714285714285717,90.76500269534539,94.87964807611257,292.42857142857144,322.95238095238096,-1.0,-0.6945378997342959,0.1364897477969378,0.7778869165043865,-0.04988829515908008,131.0,131.0,396.0,494.0,30.0,7.0,2016.0,3.0,0.0,47.72359,0.0,28.4,27.1,29.1,0.0,59.0,0.0,28.314285714285713,27.1,27.1,27.1,29.1,29.1,29.1
2016-08-01,1726.0,-8.464285714285714,-4.55064935064935,42.42584567162723,88.08942966694083,246.57142857142858,284.95238095238096,-1.0,-0.3075048818390745,0.6817877125884334,1.5479388875114708,0.5879684207277538,173.0,131.0,312.0,483.0,31.0,8.0,2016.0,3.0,0.0,41.137,0.0,28.4,26.3,28.9,0.0,50.0,0.0,28.028571428571432,26.3,26.3,26.3,28.9,28.9,28.9
2016-08-08,1661.0,-13.428571428571427,-4.492207792207792,44.26328156879522,64.87981563005347,237.28571428571428,258.76190476190476,-1.0,-2.423185720882457,0.16150771133217118,6.090230243824069,1.1140634465965757,139.0,131.0,266.0,396.0,32.0,8.0,2016.0,3.0,0.0,36.79985,2.0,30.5,27.2,31.2,0.0,44.0,0.0,29.971428571428568,27.2,27.2,27.2,31.2,31.2,31.2
2016-08-15,1309.0,-3.714285714285714,-4.722077922077922,19.442222095232886,44.2746837261072,187.0,223.61904761904762,-1.0,0.4107136080472471,-0.16115466170131426,2.524554183813443,-0.6059720974431317,156.0,139.0,222.0,312.0,33.0,8.0,2016.0,3.0,0.0,33.99628,0.0,29.1,28.9,30.5,1.0,37.0,0.0,29.685714285714283,28.9,28.9,28.9,30.5,30.5,30.5
2016-08-22,967.0,-0.46428571428571425,-6.949350649350648,29.019697743829592,51.71133245973322,138.14285714285714,187.47619047619048,-1.0,-0.021124547720460705,0.05603554296103602,-1.5203836376043867,-1.0798583827342412,101.0,101.0,179.0,266.0,34.0,8.0,2016.0,3.0,0.0,37.836209999999994,0.0,30.7,28.9,30.7,1.0,37.0,0.0,29.928571428571423,28.9,28.9,28.9,30.7,30.7,30.7
2016-08-29,539.0,-6.7142857142857135,-7.396103896103899,25.948667274712026,51.907105670097806,77.0,134.04761904761904,-1.0,1.759524920849444,-0.15266902886789982,3.1366471914517673,-1.3131413178813016,56.0,56.0,130.0,222.0,35.0,8.0,2016.0,3.0,0.0,38.08183,0.0,22.2,21.0,29.1,0.0,34.0,0.0,24.87142857142857,21.0,21.0,21.0,29.1,29.1,29.1
2016-09-05,-4.0,-0.6428571428571431,-9.111688311688313,33.56514632203222,64.61936168642411,-0.5714285714285714,71.52380952380952,-1.0,-2.2385520222439133,-0.23991111597937348,5.627323274262993,-0.3160533320653315,-74.0,-74.0,30.0,179.0,36.0,9.0,2016.0,3.0,0.0,32.79218,0.0,26.4,17.7,26.4,0.0,44.0,0.0,23.085714285714285,17.7,17.7,17.7,26.4,26.4,26.4
