,sum,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter
2017-01-24,3171.0,15350.0,72.64285714285714,-64.52597402597402,1005.0345646745068,1261.3894040190078,2192.8571428571427,2882.8571428571427,-1.0,-1.2461617812762438,1.0763773063260995,1.9289610951736578,2.8941978365858976,258.0,258.0,3197.0,6434.0,5,1,2017,1
2017-01-25,2688.0,15704.0,145.85714285714286,-66.39740259740262,1022.0820021151034,1262.0447486595103,2243.4285714285716,2871.3809523809523,-1.0,-1.3669363652363868,1.1046477167087339,1.9775562974710454,2.929385230897345,258.0,258.0,3197.0,6434.0,5,1,2017,1
2017-01-26,2142.0,15435.0,158.92857142857142,-76.38961038961041,1019.7859252477122,1272.0641287368521,2205.0,2838.3809523809523,-1.0,-1.2190991849835904,1.1543729385458028,1.6525525659290565,2.8771813387032417,258.0,258.0,3197.0,6434.0,5,2,2017,1
2017-01-27,1617.0,14745.0,110.5,-97.45714285714286,1041.4017567911137,1297.8244708522243,2106.4285714285716,2797.5714285714284,-1.0,-0.7880448567007932,1.1464502032734407,0.3848740291577393,2.6058515676553067,258.0,258.0,3197.0,6434.0,5,2,2017,1
2017-01-28,1144.0,14217.0,-54.67857142857142,-119.28311688311688,1095.8117234878137,1347.1135438410524,2031.0,2720.0,-1.0,-0.5302983364769055,1.1141040086351586,-0.7868325787167094,2.198967998264604,258.0,258.0,3197.0,6434.0,5,2,2017,1
2017-01-29,4465.0,18424.0,-47.17857142857142,-65.26363636363637,1114.8422907897477,1313.614386775227,2632.0,2698.5714285714284,-1.0,0.34316638572120917,1.1273375846531895,-0.11424406547697288,2.5753557257098505,1144.0,258.0,4465.0,6434.0,5,2,2017,1
2017-01-30,2086.0,17313.0,-24.96428571428571,-19.85584415584415,1099.984805089857,1000.8303861817748,2473.285714285714,2491.5238095238096,-1.0,0.9080191409003915,0.35933370025731987,0.869972852815662,1.4638459776951478,1144.0,258.0,4465.0,4792.0,5,2,2017,1
2017-01-31,922.0,15064.0,-91.5,-36.88961038961039,1187.217334779104,1055.6202667716484,2152.0,2405.6190476190477,-1.0,1.323280395951237,0.3944476791553848,2.1421959791714587,0.9422138730968741,922.0,258.0,4465.0,4792.0,6,2,2017,1
2017-02-01,1054.0,13430.0,-132.57142857142856,-55.76623376623377,1224.3226504402144,1096.1181201555478,1918.5714285714287,2345.6666666666665,-1.0,1.8307826723617087,0.4302876015512363,3.7307776264096617,0.5669399675320389,922.0,258.0,4465.0,4792.0,6,2,2017,1
2017-02-02,1036.0,12324.0,-195.2142857142857,-74.22727272727273,1261.4845562726025,1132.8040556828118,1760.5714285714287,2288.1428571428573,-1.0,2.121757368323685,0.47299074564890825,4.674451439099646,0.2812518186998079,922.0,258.0,4465.0,4792.0,6,2,2017,1
