period,ratio
2015-12-28,14.20355
2016-01-04,16.75552
2016-01-11,17.78589
2016-01-18,18.10339
2016-01-25,19.28353
2016-02-01,17.18684
2016-02-08,22.13502
2016-02-15,23.37806
2016-02-22,24.98352
2016-02-29,28.1645
2016-03-07,31.61205
2016-03-14,39.28892
2016-03-21,40.12759
2016-03-28,48.46342
2016-04-04,54.24728
2016-04-11,80.57868
2016-04-18,62.29856
2016-04-25,69.61001
2016-05-02,68.352
2016-05-09,65.84496
2016-05-16,76.04385
2016-05-23,70.7572
2016-05-30,66.62672
2016-06-06,65.26088
2016-06-13,58.06625
2016-06-20,54.7445
2016-06-27,51.63841
2016-07-04,51.77619
2016-07-11,52.12064
2016-07-18,51.09327
2016-07-25,47.72359
2016-08-01,41.137
2016-08-08,36.79985
2016-08-15,33.99628
2016-08-22,37.83621
2016-08-29,38.08183
2016-09-05,32.79218
2016-09-12,25.78026
2016-09-19,32.4627
2016-09-26,29.39255
2016-10-03,28.61379
2016-10-10,25.95099
2016-10-17,24.68998
2016-10-24,21.05373
2016-10-31,17.82783
2016-11-07,16.70161
2016-11-14,16.47996
2016-11-21,15.53645
2016-11-28,16.2643
2016-12-05,16.39309
2016-12-12,16.24932
2016-12-19,15.21296
2016-12-26,13.65841
2017-01-02,16.7675
2017-01-09,17.20481
2017-01-16,17.39351
2017-01-23,14.80261
2017-01-30,20.43371
2017-02-06,20.90397
2017-02-13,24.46534
2017-02-20,24.9356
2017-02-27,28.53591
2017-03-06,31.61205
2017-03-13,39.38177
2017-03-20,42.48487
2017-03-27,40.08865
2017-04-03,54.89426
2017-04-10,64.61391
2017-04-17,66.71958
2017-04-24,72.11106
2017-05-01,92.30216
2017-05-08,72.20391
2017-05-15,72.0212
2017-05-22,72.57533
2017-05-29,70.55352
2017-06-05,63.6075
2017-06-12,62.46929
2017-06-19,60.86982
2017-06-26,59.2344
2017-07-03,60.07008
2017-07-10,57.44923
2017-07-17,55.31659
2017-07-24,53.46552
2017-07-31,47.7176
2017-08-07,43.52423
2017-08-14,39.52255
2017-08-21,37.87515
2017-08-28,39.33385
2017-09-04,34.7421
2017-09-11,34.86191
2017-09-18,33.6698
2017-09-25,26.21458
2017-10-02,20.04133
2017-10-09,26.77769
2017-10-16,23.89324
2017-10-23,21.72767
2017-10-30,19.17869
2017-11-06,17.88174
2017-11-13,15.95578
2017-11-20,15.48253
2017-11-27,15.3118
2017-12-04,15.80303
2017-12-11,15.24591
2017-12-18,13.78721
2017-12-25,13.14023
2018-01-01,15.7551
2018-01-08,17.18684
2018-01-15,19.32546
2018-01-22,19.24459
2018-01-29,20.31689
2018-02-05,19.92152
2018-02-12,19.70886
2018-02-19,26.36134
2018-02-26,32.32193
2018-03-05,34.81698
2018-03-12,52.61187
2018-03-19,45.32738
2018-03-26,71.77559
2018-04-02,75.37291
2018-04-09,64.68579
2018-04-16,78.09261
2018-04-23,72.39261
2018-04-30,83.96932
2018-05-07,76.50212
2018-05-14,83.05277
2018-05-21,71.53597
2018-05-28,81.98047
2018-06-04,76.60995
2018-06-11,64.98532
2018-06-18,61.73845
2018-06-25,60.75001
2018-07-02,62.652
2018-07-09,67.1479
2018-07-16,66.85736
2018-07-23,58.93488
2018-07-30,50.68591
2018-08-06,49.61061
2018-08-13,41.33469
2018-08-20,39.52854
2018-08-27,39.63337
2018-09-03,41.54136
2018-09-10,38.59102
2018-09-17,30.77637
2018-09-24,30.78236
2018-10-01,31.48625
2018-10-08,26.46618
2018-10-15,23.15341
2018-10-22,21.03875
2018-10-29,19.06188
2018-11-05,19.72683
2018-11-12,18.56766
2018-11-19,17.30965
2018-11-26,16.35116
2018-12-03,17.43245
2018-12-10,16.80944
2018-12-17,16.35116
2018-12-24,14.2395
2018-12-31,15.50649
2019-01-07,18.73839
2019-01-14,19.28952
2019-01-21,20.21506
2019-01-28,19.00197
2019-02-04,23.25226
2019-02-11,25.00449
2019-02-18,27.88594
2019-02-25,34.94878
2019-03-04,39.39974
2019-03-11,38.58803
2019-03-18,42.91619
2019-03-25,47.01072
2019-04-01,46.65129
2019-04-08,52.25543
2019-04-15,69.36739
2019-04-22,88.39633
2019-04-29,80.47684
2019-05-06,90.06769
2019-05-13,100.0
2019-05-20,83.19355
2019-05-27,71.94033
2019-06-03,70.36482
2019-06-10,63.72431
2019-06-17,61.53477
2019-06-24,60.78296
2019-07-01,61.78937
2019-07-08,58.18307
2019-07-15,56.70041
2019-07-22,58.64434
2019-07-29,52.26142
2019-08-05,49.25118
2019-08-12,42.74246
2019-08-19,39.81908
2019-08-26,41.40358
2019-09-02,40.27137
2019-09-09,31.50721
2019-09-16,39.65734
2019-09-23,35.40705
2019-09-30,33.56197
2019-10-07,30.57868
2019-10-14,27.63433
2019-10-21,25.48972
2019-10-28,22.56334
2019-11-04,22.2758
2019-11-11,19.92451
2019-11-18,18.48679
2019-11-25,18.10339
2019-12-02,18.29209
2019-12-09,18.36997
2019-12-16,19.24159
2019-12-23,16.76451
2019-12-30,17.81884
2020-01-06,21.73066
2020-01-13,22.23686
2020-01-20,19.26256
2020-01-27,25.33696
